title,abrev
arábico,aráb.
aracnídeo,aracn.
aramaico,aram.
arameu,aram.
arboricultura,arb.
arboricultura,arboric.
arcaico,arc.
arcaísmo,arc.
arco cujo cosseno é,Arc. cos.
arco cujo seno é,Arc. sen.
arcebispo,arc.o
arcaico,arcaic.
arcebispado,arceb.
arcebispo,arceb.
arcebispado,arcebd.
arciprestado,arcip.
arcipreste,arcip.
arciprestado,arcipd.
ardosieiras,ard.
argentino,arg.
aritmética,arit.
aritmética,aritm.
aritmologia,aritmol.
armamento antigo,arm. ant.
armamento(s),arm.
armaria,arm.
armênio,arm.
arquitetura antiga,arq. ant.
arqueologia,arq.
arquivo,arq.
arquitetura colonial brasileira,arq. col. bras.
arquitetura hidráulica,arq. hidr.
arquitetura religiosa,arq. rel.
arquitetura romana,arq. rom.
arqueologia,arqueol.
arquidiocese,arquid.
arquipélago,arquip.
arquitetura,arquit.
arquitetura hidráulica,arquit. hidr.
arquitetura hidráulica,arquit. hidrául.
arquitetura militar,arquit. mil.
arquitetura naval,arquit. nav.
arquitetura naval,arquit. naval
,arr arroba(s)
"arrondissement(s) (divisão administrativa francesa, belga e argelina)",arr.
artigo,art.
artilharia,art.
artilheiro,art.
artístico,art.
arte(s) decorativa(s),art. dec.
artigo definido,art. def.
arte(s) doméstica(s),art. dom.
arte dramática,art. dram.
arte(s) gráfica(s),art. gráf.
artigo indefinido,art. ind.
artigo indefinido,art. indef.
arte militar,art. mil.
artes plásticas,art. plást.
artigo,art.o
arte decorativa,arte dec.
arte dramática,arte dram.
arte militar,arte mil.
artesanato,artes.
artesanato,artesan.
artilharia,artilh.
artístico,artíst.
aruaque,aru.
"ampere(s)-segundo, ampère(s)-segundo",As
arsênio,As
às vezes,às v.
asiático,as.
As soon as possible (tão logo quanto possível),ASAP.
ascetismo,ascet.
asiático,asiát.
ásio-lusitano,ásio-lus.
ásio-lusitanismo,asolus.
ásio-lusitano,asolus.
aspirante,asp.
aspirante,asp.te
assimilação,ass.
assembleia,assem.
assembleia,assemb.
assimilação,assim.
assistência,assist.
associação,assoc.
asturiano,ast.
astrônimo,astr.
astronomia,astr.
astronômico,astr.
astrônimo feminino,astr.f.
astrônimo feminino plural,astr.f.pl.
astrônimo masculino,astr.m.
astrônimo masculino plural,astr.m.pl.
astrologia,astrol.
astronáutica,astron.
astrônimo,astrôn.
astronomia,astron.
astrônimo feminino,astrôn. fem.
astrônimo masculino,astrôn. masc.
astronáutica,astronáut.
astronímia,astroním.
astatínio,At
astatino,At
ativo,at.
átomo,át.
átono,át.
atencioso,at.o
atento,at.o
atenciosamente,at.te
atividade,ativ.
atletismo,atl.
atletismo,atlt.
atmosfera,atm.
atômico,atôm.
atomística,atom.
através,atr.
atualidade,atual.
atualidade,atualid.
atualmente,atualm.
"aurum, ouro",Au
adjetivo uniforme,au.
aumentativo,aum.
austral,aus.
austral,austr.
austríaco,austr.
australiano,austral.
automobilismo,aut.
automóvel,aut.
automobilismo,auto.
automóvel,auto.
automobilismo,autom.
automóvel,autom.
automatismo,automat.
auxiliar,aux.
auxílio,aux.o
avenida,av.
avenida (toponimicamente),Av.
aviação,av.
aviador,av.
acidente vascular cerebral,AVC
avenida,aven.
aviação,aviaç.
avicultura,avic.
axiônimo,ax.
axiônimo,axiôn.
azoto,Az
bária(s) (unidade de pressão),b
beco (toponimicamente),B
bom,b
boro,B
braça(s),b
baixo,b.
beato,B.
boreal,B.
baixo-latim,b. lat.
"Baccalaureus Literarum (Litterarum), bacharel de letras, bacharel em letras",B. Lit.
"Baccalaureus Artium, bacharel de artes, bacharel em artes",B.A.
"balneum arenae, banho de areia",B.a.
belas-artes,b.-art.
belas-artes,b.-artes
bombordo,B.B.
Banco do Brasil,BB
bacharéis,B.eis
bacharel,B.el
boas-festas,b.f.
boas-festas,B.F.
"bis in die, duas vezes ao dia",b.i.d.
baixo-latim,b.-lat.
belas-letras,B.-letr.
"balneum mariae, banho-maria",B.m.
beco (toponimicamente),B.o
"british thermal unit, unidade termal britânica",B.T.U.
"balneum vaporis, banho de vapor",B.V.
barlavento,B.V.
"bill of lading, nota de embarque",B/L
bário,Ba
bacteriologia,bact.
bacteriologia,bacter.
bacteriologia,bacteriol.
balanço,bal.
balística,bal.
balística,balíst.
báltico,bált.
bária,Bar
barão,Bar.
bárbaro,bárb.
basquetebol,basq.
bateria,bat.
bombordo,BB
"barrel(s) of petroleum, barril ou barris de petróleo",bbl.
,"Be berilo, berílio"
termo beirão,beir.
belas-artes,bel.-art.
bengali,beng.
berbere,berb.
bismuto,Bi
bíblico,bíb.
Bíblia,Bíbl.
bíblico,bíbl.
bibliografia,bibl.
bibliográfico,bibl.
bibliônimo,bibl.
biblioteca,bibl.
bibliônimo feminino,bibl.f.
bibliônimo masculino,bibl.m.
bibliônimo masculino plural,bibl.m.pl.
bibliofilia,bibliof.
bibliografia,bibliog.
bibliografia,bibliogr.
bibliologia,bibliol.
bibliônimo feminino,bibliôn. fem.
bibliônimo masculino,bibliôn. masc.
biblioteconomia,bibliot.
biblioteconomia,bibliotec.
biblioteconomia,bibliotecon.
bibliografia,biblog.
bibliologia,biblol.
biblionímia,biblon.
bilhete,bilh.e
bimensal,bim.
bimensal,bimen.
biodinâmica,biodim.
biofísica,biofís.
biogênese,biogên.
biogenético,biogen.
biogeografia,biogeo.
biogeografia,biogeog.
biogeografia,biogeogr.
biografia,biogr.
biologia,biol.
biologia geral,biol. ger.
biometria,biom.
bioquímica,bioq.
bioquímica,bioquím.
biotaxia,biot.
biotipologia,biotip.
biotipologia,biotipol.
"birmanês, birmano, birmão",birm.
birrelativo,birrel.
bispado,bisp.
bispado,bispd.
bitransitivo,bitr.
bitransitivo,bitrans.
"berkélio, berquélio",Bk
baixa-mar,bm.
boêmio,boêm.
boletim,bol.
boliviano,boliv.
Bill Of Material,B.O.M.
bombeiros,bomb.
boreal,bor.
"bordado, arte de bordar",bord.
borguinhão,borg.
indústria de borracha,borr.
botânica,bot.
botânico,bot.
bilhete postal (coleccionismo),b. p.
Bispo,Bpo.
bromo,Br
brasileirismo,br.
brasileiro,br.
brochado(s),br.
brochura,br.
barão,Brâo
brasileirismo,bras.
brasileiro,bras.
brasileiro,brasil.
bretão,bret.
brigadeiro,Brig.
brigadeiro,brig.
,Brig.o brigadeiro
britânico,brit.
bromatologia,brom.
bromatologia,bromat.
batalhão,btl.
"bushel(s), alqueire(s)",bu
budismo,bud.
búlgaro,búlg.
burocracia,bur.
burlesco,burl.
burocracia,buroc.
barlavento,BV
carbono,C
coulomb(s),C
calçada (toponimicamente),C.
canto(s) (de poema),c.
capital,c.
carta,C.
cave (cuidado),c.
cena (de peça teatral),c.
cento(s),c.
cerca de; circa (no sentido temporal),c.
"circa, cerca, em torno de, por volta de",c.
código,C.
comarca,c.
compasso(s) (em música),c.
comum (em botânica),C.
conto(s) (de réis),c.
código militar,C. Mil.
contração anódica de abertura,C.A.A.
código de águas,C.Ág.
contra-almirante,c.-alm.
contra-almirante,C.-Alm.
"Chirurgiae Baccalaureus, bacharel de cirurgia, bacharel em cirurgia",C.B.
Código Civil,C.C.
confere,c.c.
conforme,c.c.
Código Comercial,C.Com.
"compact disc, disco compacto",C.D.
conde,C.de
conde,C.de
condessa,C.dessa
condessa,C.dessa
coronel,C.el
coronel,c.el
coronel,C.el
coronel,c.el
centímetro grama e segundo,C.G.S.
componente horizontal,C.H.
"cost, insurance and freight, custo, seguro e frete",C.I.F.
companhia,C.ia
companhia,C.ia
costa-riquenho,c.-riq.
comandita,C.ta
cavalo(s)-vapor,c.v.
componente vertical,C.V.
com,c/
conta (comercialmente),c/
conta aberta,c/a
"conta corrente, com cópia, combinado com",c/c
cálcio,Ca
centiare(s),ca
cabala,cab.
caboverdianismo,cabo-verd.
caçadores (do exército),caç.
cadência,cad.
caderno,cad.
cafre,caf.
caloria(s),cal
caloria(s)-grama,cal
calão,cal.
calçados,cal.
calendário,cal.
calçada (toponimicamente),calç.
cálculo,cálc.
cálculo vectorial,cálc. vect.
cálculo vetorial,cálc. vet.
calcografia,calcog.
calcografia,calcogr.
"caldaico, caldeu",cald.
caligrafia,calig.
caligrafia,caligr.
calorimetria,calor.
calorimetria,calorim.
calvinismo,calv.
calvinismo,calvin.
câmara,câm.
canadense,can.
canadense,canad.
canalização,canal.
canalização,canaliz.
cantão,cant.
cantaria,cant.
capital,cap.
capitão,cap.
capítulo,cap.
capítulo,Cap.
capoeira,cap.
capitão-de-corveta,Cap. Corv.
capitão-de-corveta,cap. corv.
capitão-de-fragata,Cap. Fr.
capitão-defragata,cap. frag.
capitão,Cap.ão
capitão,cap.ão
capitão-de-mare- guerra,Cap.M.G.
capitão-de-mar-eguerra,cap.m.g.
capitão-tenente,Cap.-ten.
capitão-tenente,cap.-ten.
capacidade,capac.
capitalismo,capit.
capixaba,capix.
capítulos,caps.
capitão,capt.
caribe,car.
cardeal,card.
cardiologia,card.
carniceiro,carn.
carpintaria,carp.
carpinteiro,carp.
carroçaria,carr.
cartaginês,cart.
cartografia,cart.
cartonado(s),cart.
cartografia,cartogr.
castelhano,cast.
casuística,casuís.
casuística,casuíst.
catalão,cat.
catálogo,cat.
catolicismo,Cat.
católico,cat.
categoria morfológica,cat. morf.
catálise,catal.
catarinense,catar.
catarinense,catarin.
categoria,categ.
catolicismo,Catol.
católico,catól.
catolicismo,Catolic.
catóptrica,catóp.
catóptrica,catópt.
causal,caus.
causalidade,causal.
causalismo,causal.
causalidade,causalid.
cavalaria,cav.
cavaleiro,cav.
cavaleiro,Cav.o
colômbio,Cb
cabo,cb.
contrabaixo (em música),cb.
contrabaixo (em música),Cb.
comarca,cc.
cádmio,Cd
candela(s),cd
certificado de depósito bancário,CDB
"compact disc read only, disco compacto com memória para ser lido",CD-ROM
cério,Ce
"celamim, celamins",ce.
cearense,cear.
celta,celt.
céltico,célt.
cênico,cên.
cenografia,cenog.
centavo(s),cent.
"cêntimo(s), centimo(s)",cênt.
central,centr.
cerâmica,cer.
cerâmica,cerâm.
cervejaria,cerv.
cestaria,cest.
"ceteris paribus, sendo iguais (semelhantes, equivalentes) às outras coisas",cet. par.
califórnio,Cf
"confer, compara",cf.
"confer, confere, verifica",cf.
confronte com,cf.
confira,cfr.
confronte,cfr.
centigrama(s),cg
centigrama-força,cg
centigrama-força,cg*
centigrama-força,cgf
centígrado(s),cgr
"chain(s), cadeia(s)",ch.
"Chirurgiae Baccalaureus, bacharel de cirurgia, bacharel em cirurgia",Ch.B.
chantre,ch.e
"Chirurgiae Magister, mestre de cirurgia, mestre em cirurgia",Ch.M.
chancelaria,chanc.
chancelaria,chancel.
chapelaria,chap.
chapelaria,chapel.
chileno,chil.
chinês,chin.
chulismo,chul.
chulo,chul.
companhia,Cia.
cibernética,ciber.
cibernética,cibern.
ciclismo,cicl.
cidade(s),cid.
ciência(s),ciênc.
ciências ocultas,ciênc. oc.
ciência política,cienc. pol.
científico,cient.
cigano,cig.
cinegética,cin.
cinema,cin.
cinegética,cineg.
cinema,cinem.
cinematografia,cinem.
cinematografia,cinematogr.
cingalês,cing.
cinologia,cinol.
cinzelaria,cinz.
cirurgia,cir.
"circo, atividades circenses",circ.
círculo,círc.
circunscrição,circunscr.
cirurgia,cirurg.
citação,cit.
"citatus, citata, citatum, citado, citada, citado (neutro)",cit.
citologia,citol.
"citati, citatae, citata, citados, citadas, citados (neutro)",citt.
centilitro(s),cl
cloro,Cl
clérigo,Cl.
classicismo,clas.
clássico,clás.
clássico,cláss.
clicheria,clich.
climatologia,clim.
climatologia,climatol.
clínica,clín.
centímetro(s),cm
cúrio,Cm
centímetro-gramaforça,cm.g*
centímetro(s) por segundo,cm/s
centímetro(s) por segundo por segundo,cm/s/s
centímetro(s) quadrado(s),cm²
centímetro(s) cúbico(s),cm³
cobalto,Co
cobertura,cob.
cobra,cob.
código de águas,cód. águas
código civil,cód. civ.
código civil,cód. civil
códice,cód.
código,cód.
código comercial,cód. com.
código de contabilidade,cód. cont.
código florestal,cód. fl.
código de justiça militar,cód. just.mil.
código militar,cód. mil.
código penal,cód. pen.
código penal,cód. penal
código processual civil,cód. proc. civ.
código de processo,cód. proc.
código processual penal,cód. proc. pen.
código do trabalho,cód. trab.
códices,códs.
cognome,cogn.
colaborador,col.
coleção,col.
colégio,Col.
coletivo,col.
coluna,col.
part. — coleção particular,col.
Colégio,Col.º
coletivamente,colet.
coletivismo,colet.
coletivo,colet.
,coletsmo coletivismo
colombiano,colomb.
coleções,cols.
colunas,cols.
comandante,com.
comendador,com.
comercial,com.
comércio,com.
comum,com.
comuna,com.
comunismo,com.
,Com.dor comendador
,com.e comadre
,Com.or comendador
combinação,comb.
combinatório,comb.
combustão,comb.
combustível,comb.
combinação,combin.
combinatório,combinat.
combustível,combust.
comendador,comdor.
comendador,comend.
comercial,comerc.
comércio,comerc.
como queria demonstrar,c.q.d.
companhia (militarmente),comp.
comparativo,comp.
composto,comp.
,comp.e compadre
,"comp.t composuit, compôs"
comparado,compar.
comparativamente,compar.
comparativo,compar.
complemento,compl.
comprimento,compr.
computadores eletrônicos,compt.
,comte comandante
comandante,comte.
comunicação,comunic.
cônego,Côn.
cônego,côn.
"contra, contra, em oposição",con.
Cônego,Côn.º
concani,conc.
conceito,conc.
concelho(s) (divisão administrativa),conc.
concessiva,concess.
concretismo,concret.
condado,cond.
condicional,cond.
condutor,cond.
conferência,conf.
confederação,Confed.
confederação,confed.
confeitaria,confeit.
confluência,confl.
confluências,confls.
conguês,cong.
conhecimento(s),conhec.
conjunção aditiva,conj. adit.
conjunção adversativa,conj. adv.
conjunção adversativa,conj. advers.
conjunção alternativa,conj. alt.
conjunção causal,conj. cau.
conjunção causal,conj. caus.
,conj. causal conjunção causal
conjunção comparativa,conj. comp.
conjunção comparativa,conj. compar.
conjunção concessiva,conj. conc.
conjunção concessiva,conj. conces.
conjunção conclusiva,conj. concl.
conjunção condicional,conj. cond.
conjunção condicional,conj. condic.
conjunção conformativa,conj. conf.
"conjuga, conjugue",conj.
conjugação,conj.
conjunção,conj.
conjuntivo,conj.
conjunção consecutiva,conj. cons.
conjunção consecutiva,conj. consec.
conjunção coordenativa,conj. coord.
conjunção explicativa,conj. expl.
conjunção final,conj. fin.
conjunção final,conj. final
conjunção integrante,conj. int.
conjunção integrante,conj. integr.
conjunção proporcional,conj. prop.
conjunção subordinativa,conj. sub.
conjunção subordinativa,conj. subord.
conjunção temporal,conj. temp.
conjugação,conjug.
conquiliologia,conq.
conquiliologia,conquil.
conquiliologia,conquiliol.
conselheiro,cons.
consoante,cons.
Conselheiro,cons.º
conselheiro,consel.
conselheiro,conselh.
consequente,conseq.
constelação,constel.
constitucionalista,const.
constituição,Const.
constituição,const.
construção,const.
nav. — construção naval,const.
rur. — construção rural,const.
nav. — construção naval,constr.
construtora,constrt.
contabilidade,cont.
contemporâneo,cont.
"contra, contra, em oposição",cont.
contador,Cr.
contadora,Cra.
contadora,Crª.
,Cont.dor contador
,Cont.or contador
contabilidade,contab.
contemporâneo,contemp.
"contra, em oposição",contr.
contração,contr.
contrário,contr.
contrata,contr.
coordenativa,coord.
copiado,cop.
copulativo,cop.
copulativo,copul.
copulativo,copulat.
"coque ou coquatur, coze, coza-se",coq.
coreano,cor.
coroa(s) (moeda),cor.
corografia,cor.
corolário,Cor.
corredor,cor.
correios,cor.
"coreografia, coregrafia",coreog.
coreografia,coreogr.
corografia,corog.
corografia,corogr.
correção,corr.
correios,corr.
corrução,corr.
corrupção,corr.
corruptela,corr.
corrutela,corr.
correição,correi.
correspondência,corresp.
corrupção,corrup.
corruptela,corrup.
corruptela,corrupt.
corrutela,corrut.
co-seno,cos.
co-secante,cosec.
cosmetologia,cosm.
cosmografia,cosm.
cosmologia,cosm.
cosmogonia,cosmog.
cosmografia,cosmog.
cosmografia,cosmogr.
cosmologia,cosmol.
costura,cost.
costa-ricense,costa-ric.
costa-riquenho,costa-riq.
co-tangente,cot.
côvado,côv.
"compare, coteje, confronte",cp.
como queríamos demonstrar,c.q.d.
cromo,Cr
cruzeiro,Cr$
croata,cr.
criada,cr.a
Criado,cr.º
crédito,créd.
"crescendo, crescendo, em crescendo",cresc.
crescente,cresc.te
criminologia,crim.
criminologia,criminol.
criptônimo,cript.
criptografia,criptog.
cristalografia,crist.
cristandade,crist.
cristianismo,crist.
cristalografia,cristal.
cristalografia,cristalogr.
cristandade,cristand.
cristianismo,cristian.
crônica,crôn.
cronologia,cron.
cronológico,cron.
cronônimo,cron.
cronônimo feminino,cron.f.
cronônimo feminino plural,cron.f.pl.
cronônimo masculino,cron.m.
cronônimo masculino plural,cron.m.pl.
cronologia,cronol.
cronometria,cronom.
cronônimo feminino,cronôn. fem.
cronônimo masculino,cronôn. masc.
crustáceo(s),crust.
cruzamento,cruz.
césio,Cs
centavo(s),ctv.
"cuprum, cobre",Cu
"cubic foot (feet), pé cúbico(s)",cu.ft.
"cubic inch(es), polegada(s) cúbica(s)",cu.in.
"cubic yard(s), jarda(s) cúbica(s)",cu.yd.
culinária,cul.
culinária,culin.
cultismo,cult.
cultura,cult.
cumprimento,cump.to
curtume(s),curt.
cutelaria,cut.
cutelaria,cutel.
centavo,cv.
centavos,cvs.
caixa,Cx.
caixa,cx.
"cyathus, copo de vidro",cyat.
designer,D.er
"denarius, denário",d
dever (comercialmente),D
dia(s),d
dina(s),d
dinheiro,d
dioptria,d
dólar(es),D
Diretor de Colégio,D.C.
declinação,D.
"denarius, denário",d.
densidade,D.
depois de,d.
designer,D.er
deve (comercialmente),D.
dever (comercialmente),D.
digno,D.
dinheiro(s) (moeda),d.
diplomata,d.
direita (marcação teatral),D.
distrito,D.
dom,d.
dom,D.
dona,D.
dona,d.
dona,D.ª
direita alta (marcação teatral),D.A.
direita baixa (marcação teatral),D.B.
"da capo, do início, repita-se a partir do início",D.C.
depois de Cristo,d.C.
depois de Cristo,D.C.
duração da contração catódica,d.C.C.
dina por centímetro,d.-cm
deve,d.e
"Dei gratia, pela graça de Deus",D.G.
Deus guarde,D.G.
"""Doctor in Musical Arts"" (lit. Doutor em Artes Musicais – título acadêmico, em instituições de ensino de língua inglesa, geralmente relativo a um Doutorado em performance, composição ou regência, diferenciando–se de Ph.D. que geralmente refere–se a um Doutorado em musicologia)",D.M.A.
"Desoxirribo Nucleic Acid,ácido desoxirribonucléico",DNA.
diferença de potencial,D.P.
doutor,D.r
"doutor de medicina, doutor em medicina",D.r M.
doutora,D.ra
"Deo uolente, querendo Deus, se Deus quiser",D.V.
dia(s) (comercialmente),d/
dina por centímetro quadrado,d/cm²
dina por centímetro cúbico,d/cm²
dias de data (comercialmente),d/d
dias de vista (comercialmente),d/v
dona,Da.
dactilografia,dactilog.
dactilografia,dactilogr.
dactiloscopia,dactilos.
dactiloscopia,dactilosc.
dadaísmo,dad.
decagrama(s),dag
decalitro(s),dal
decâmetro(s),dam
decâmetro(s) quadrado(s),dam²
dasimetria,dasim.
dasonomia,dason
decastéreo(s),dast
dativo,dat.
Digníssimo,DD.
distritos,DD.
diclorodifeniltricloretana (inseticida),DDT
"decoctio, decocção",Dec.
decoração,dec.
decreto,dec.
declinação,decl.
declinação,declin.
decoração,decor.
decrescendo,Decr.
decreto,decr.
"decrescendo, decrescendo, em decrescendo",decresc.
dedicado,ded.o
devotado,ded.o
defectivo,def.
definido,def.
defectivo,defect.
definição,defin.
definitivo,definit.
"delineauit, delineavit, desenhou",del.
"delineauit, delineavit, desenhou",del.t
"deleatur, apague-se, destrua-se, elimine-se",dele.
demonstrativo,dem.
democrático,democ.
democracia,democr.
